Type,Dir,Sx,X1,X2,Y2,X3,Y3,BT,UEB,KH,B1,BH,Rr,CE,Notes
1,L,80.500000,170.294794169572,313.777805267233,132.984425936657,330.995471974814,307.478658910801,671.524186567759,13.0182358032929,708.291772852686,796.457255970328,500,150,60.2618334765331,
1,L,81.000000,187.0000025,345,145.49999,365.5,337.5,637.5,15.5,748,786.25,500,150,71.75,
1,L,81.500000,204.650069645965,377.988144929264,158.723443531272,401.956129396187,369.219370124293,601.551380525802,18.1221345969415,789.954153551064,775.465414157741,500,150,83.8879456342293,
1,L,82.000000,223.085153866211,412.443494306206,172.53503288759,440.033707810191,402.349513755967,564.003884409904,20.8608931371599,833.774290194559,764.201165322971,500,150,96.56574726395,
1,L,82.500000,242.138304183298,448.054015151323,186.809678176967,479.387898795437,436.590399183965,525.197547591507,23.6914729992078,879.063567987324,752.559264277452,500,150,109.668592754397,
1,L,83.000000,261.636972317499,484.497213073419,201.418106001178,519.662304704214,471.631935647518,485.483806266146,26.5882400135282,925.411840216451,740.645141879844,500,150,123.077820707784,
1,L,83.500000,281.404575310749,521.443052828741,216.228020175676,560.492194279967,507.156781566097,445.22231422509,29.524960609464,972.399369751424,728.566694267527,500,150,136.671995079293,
1,L,84.000000,301.262094689251,558.556947171259,231.105299824324,601.507805720033,542.843218433903,404.77768577491,32.475039390536,1019.60063024858,716.433305732473,500,150,150.328004920707,
1,L,84.500000,321.029697682501,595.502786926581,245.915213998822,642.337695295786,578.368064352482,364.516193733854,35.4117599864718,1066.58815978355,704.354858120156,500,150,163.922179292216,
1,L,85.000000,340.528365816702,631.945984848677,260.523641823033,682.612101204563,613.409600816035,324.802452408493,38.3085270007922,1112.93643201268,692.440735722548,500,150,177.331407245603,
1,L,85.500000,359.581516133789,667.556505693794,274.79828711241,721.966292189809,647.650486244033,285.996115590096,41.1391068628401,1158.22570980544,680.798834677029,500,150,190.43425273605,
1,L,86.000000,378.016600354035,702.011855070736,288.609876468728,760.043870603813,680.780629875707,248.448619474198,43.8778654030585,1202.04584644894,669.534585842259,500,150,203.112054365771,
1,L,86.500000,395.6666675,735,301.83333,796.5,712.5,212.5,46.5,1244,658.75,500,150,215.25,
1,L,87.000000,412.371875830428,766.222194732767,314.348894063343,831.004528025186,742.521341089199,178.475813432241,48.9817641967071,1283.70822714731,648.542744029672,500,150,226.738166523467,
1,L,87.500000,427.980940391815,795.395686238661,326.043225772518,863.244976330418,770.572775229482,146.684188073254,51.3006827523038,1320.81092403686,639.005256421976,500,150,237.472515321148,
1,L,88.000000,442.352503078368,822.256274860977,336.810419448653,892.929370423285,796.400264289401,117.413033805345,53.4357551812572,1354.97208290011,630.223910141604,500,150,247.355834468078,
1,L,88.500000,455.356412792907,846.560706949687,346.552965718476,919.788883834141,819.769910528545,90.9274347343153,55.3676459370264,1385.88233499242,622.278230420295,500,150,256.29861909559,
1,L,89.000000,466.874904115351,868.088877804161,355.182634574298,943.580272650239,840.470074811693,67.467248546748,57.0788595177666,1413.26175228427,615.240174564024,500,150,264.219881961274,
1,L,89.500000,476.803663804602,886.64582497542,362.621274398623,964.088078370272,858.313293245596,47.2449343216575,58.5538989083026,1436.86238253284,609.173480296497,500,150,271.047886881982,
1,L,90.000000,485.052775475407,902.063493876268,368.801519717299,981.126579129927,873.137974881027,30.4436284681691,59.7794059234983,1456.47049477597,604.133088540451,500,150,276.720798387806,
1,L,90.500000,491.54753389507,914.202259709654,373.667401271686,994.541471627848,884.809865105437,17.2154862138386,60.7442821820494,1471.90851491279,600.164645864152,500,150,281.18724171368,
1,L,91.000000,496.229121525604,922.952191932456,377.174852884928,1004.21126852023,893.223261473515,7.68030366334965,61.4397896151439,1483.0366338423,597.304091099005,500,150,284.406768057198,
